italy ItLoad=27552,ItSolarGen=412 1453039200000000000
italy ItLoad=31480,ItSolarGen=29 1453042800000000000
italy ItLoad=33369,ItSolarGen=29 1453046400000000000
italy ItLoad=34040,ItSolarGen=29 1453050000000000000
italy ItLoad=33125,ItSolarGen=29 1453053600000000000
italy ItLoad=31142,ItSolarGen=29 1453057200000000000
italy ItLoad=28666,ItSolarGen=29 1453060800000000000
italy ItLoad=26196,ItSolarGen=29 1453064400000000000
italy ItLoad=23368,ItSolarGen=0 1453068000000000000
italy ItLoad=21967,ItSolarGen=0 1453071600000000000
italy ItLoad=21350,ItSolarGen=0 1453075200000000000
italy ItLoad=21473,ItSolarGen=0 1453078800000000000
italy ItLoad=22103,ItSolarGen=0 1453082400000000000
italy ItLoad=24436,ItSolarGen=0 1453086000000000000
italy ItLoad=30634,ItSolarGen=0 1453089600000000000
italy ItLoad=37921,ItSolarGen=55 1453093200000000000
italy ItLoad=43086,ItSolarGen=1256 1453096800000000000
italy ItLoad=45314,ItSolarGen=3807 1453100400000000000
italy ItLoad=45437,ItSolarGen=6130 1453104000000000000
italy ItLoad=44894,ItSolarGen=6857 1453107600000000000
italy ItLoad=42137,ItSolarGen=6831 1453111200000000000
italy ItLoad=41392,ItSolarGen=6016 1453114800000000000
italy ItLoad=41772,ItSolarGen=4088 1453118400000000000
italy ItLoad=42666,ItSolarGen=1883 1453122000000000000
italy ItLoad=44476,ItSolarGen=464 1453125600000000000
italy ItLoad=46965,ItSolarGen=29 1453129200000000000
italy ItLoad=46418,ItSolarGen=29 1453132800000000000
italy ItLoad=44929,ItSolarGen=29 1453136400000000000
italy ItLoad=42236,ItSolarGen=29 1453140000000000000
italy ItLoad=38892,ItSolarGen=29 1453143600000000000
italy ItLoad=34650,ItSolarGen=29 1453147200000000000
italy ItLoad=31382,ItSolarGen=29 1453150800000000000
italy ItLoad=28133,ItSolarGen=1 1453154400000000000
italy ItLoad=26468,ItSolarGen=1 1453158000000000000
italy ItLoad=25631,ItSolarGen=1 1453161600000000000
italy ItLoad=25193,ItSolarGen=1 1453165200000000000
italy ItLoad=25658,ItSolarGen=0 1453168800000000000
italy ItLoad=27465,ItSolarGen=0 1453172400000000000
italy ItLoad=33026,ItSolarGen=0 1453176000000000000
italy ItLoad=39979,ItSolarGen=34 1453179600000000000
italy ItLoad=44382,ItSolarGen=683 1453183200000000000
italy ItLoad=46575,ItSolarGen=2661 1453186800000000000
italy ItLoad=46844,ItSolarGen=4492 1453190400000000000
italy ItLoad=46578,ItSolarGen=5464 1453194000000000000
italy ItLoad=43775,ItSolarGen=5750 1453197600000000000
italy ItLoad=42641,ItSolarGen=5230 1453201200000000000
italy ItLoad=43297,ItSolarGen=3928 1453204800000000000
italy ItLoad=44114,ItSolarGen=2034 1453208400000000000
italy ItLoad=45183,ItSolarGen=372 1453212000000000000
italy ItLoad=47919,ItSolarGen=29 1453215600000000000
italy ItLoad=47542,ItSolarGen=29 1453219200000000000
italy ItLoad=46129,ItSolarGen=29 1453222800000000000
italy ItLoad=43159,ItSolarGen=29 1453226400000000000
italy ItLoad=39973,ItSolarGen=29 1453230000000000000
italy ItLoad=35510,ItSolarGen=29 1453233600000000000
italy ItLoad=31778,ItSolarGen=29 1453237200000000000
italy ItLoad=28541,ItSolarGen=0 1453240800000000000
italy ItLoad=26901,ItSolarGen=0 1453244400000000000
italy ItLoad=25937,ItSolarGen=0 1453248000000000000
italy ItLoad=25656,ItSolarGen=0 1453251600000000000
italy ItLoad=25773,ItSolarGen=0 1453255200000000000
italy ItLoad=27710,ItSolarGen=0 1453258800000000000
italy ItLoad=33587,ItSolarGen=0 1453262400000000000
italy ItLoad=40648,ItSolarGen=44 1453266000000000000
italy ItLoad=45360,ItSolarGen=1245 1453269600000000000
italy ItLoad=46852,ItSolarGen=3416 1453273200000000000
italy ItLoad=46438,ItSolarGen=5578 1453276800000000000
italy ItLoad=45655,ItSolarGen=6585 1453280400000000000
italy ItLoad=42773,ItSolarGen=6730 1453284000000000000
italy ItLoad=42011,ItSolarGen=5970 1453287600000000000
italy ItLoad=43136,ItSolarGen=4497 1453291200000000000
italy ItLoad=43960,ItSolarGen=2178 1453294800000000000
italy ItLoad=45028,ItSolarGen=441 1453298400000000000
italy ItLoad=47669,ItSolarGen=29 1453302000000000000
italy ItLoad=47690,ItSolarGen=29 1453305600000000000
italy ItLoad=46307,ItSolarGen=29 1453309200000000000
italy ItLoad=43119,ItSolarGen=29 1453312800000000000
italy ItLoad=39468,ItSolarGen=29 1453316400000000000
italy ItLoad=35285,ItSolarGen=29 1453320000000000000
